company,date,score
BGF리테일,2024-03-19,5.185604e-05
BGF리테일,2024-03-17,0.99995726
BGF리테일,2024-03-16,-0.002325058
BGF리테일,2024-03-14,0.99995834
BGF리테일,2024-03-12,0.99996746
BGF리테일,2024-03-10,0.6151314
BGF리테일,2024-03-07,1.2636185e-05
BGF리테일,2024-03-06,0.50000215
BGF리테일,2024-03-03,1.4841557e-05
BGF리테일,2024-02-26,-1.4901161e-05
BGF리테일,2024-02-22,0.7494316
BGF리테일,2024-02-19,-0.69763947
BGF리테일,2024-02-18,0.96119165
BGF리테일,2024-02-14,0.92921793
BGF리테일,2024-02-12,0.012956858
BGF리테일,2024-02-11,3.6537647e-05
BGF리테일,2024-02-07,0.9921106
BGF리테일,2024-02-05,0.9999708
BGF리테일,2024-02-04,-0.9993851
BGF리테일,2024-02-02,6.1929226e-05
BGF리테일,2024-01-28,0.040621877
BGF리테일,2024-01-25,0.999966
BGF리테일,2024-01-23,0.99224854
BGF리테일,2024-01-21,0.99997365
BGF리테일,2024-01-19,0.02229309
BGF리테일,2024-01-18,0.004415989
BGF리테일,2024-01-17,0.00095900893
BGF리테일,2024-01-14,0.4966905
BGF리테일,2024-01-10,1.5079975e-05
BGF리테일,2024-01-09,0.00034332275
BGF리테일,2024-01-08,0.0006243984
BGF리테일,2024-01-04,0.57809925
BGF리테일,2023-12-31,0.0005867481
BGF리테일,2023-12-26,0.99948
BGF리테일,2023-12-21,0.00016069412
BGF리테일,2023-12-10,9.4115734e-05
BGF리테일,2023-12-05,0.00029611588
BGF리테일,2023-11-30,3.6358833e-06
BGF리테일,2023-11-27,0.12398529
BGF리테일,2023-11-26,0.88960314
BGF리테일,2023-11-22,0.569921
BGF리테일,2023-11-21,-1.4662743e-05
BGF리테일,2023-11-19,0.98671854
BGF리테일,2023-11-14,0.00081169605
BGF리테일,2023-11-12,0.9999727
BGF리테일,2023-11-08,1.9431114e-05
BGF리테일,2023-11-07,4.929304e-05
BGF리테일,2023-11-05,-2.503395e-06
BGF리테일,2023-11-03,2.9742718e-05
BGF리테일,2023-11-02,-0.49995524
BGF리테일,2023-10-31,0.9999694
BGF리테일,2023-10-30,0.9999688
BGF리테일,2023-10-29,-7.033348e-06
BGF리테일,2023-10-26,0.9999708
BGF리테일,2023-10-23,0.0028292537
BGF리테일,2023-10-22,0.010061026
BGF리테일,2023-10-20,0.00035732985
BGF리테일,2023-10-19,0.9994281
BGF리테일,2023-10-16,7.748604e-06
BGF리테일,2023-10-15,0.0011211634
BGF리테일,2023-10-12,0.49972576
BGF리테일,2023-10-10,-0.0028981566
BGF리테일,2023-10-04,0.99997056
BGF리테일,2023-09-28,8.165836e-06
BGF리테일,2023-09-25,0.9950177
BGF리테일,2023-09-22,-0.28760695
BGF리테일,2023-09-21,0.002325058
BGF리테일,2023-09-18,0.99996805
BGF리테일,2023-09-15,0.99994135
BGF리테일,2023-09-13,0.99996454
BGF리테일,2023-09-12,0.99947673
BGF리테일,2023-09-11,-0.32165337
BGF리테일,2023-09-10,-3.33786e-06
BGF리테일,2023-09-07,-0.99331665
BGF리테일,2023-09-03,4.553795e-05
BGF리테일,2023-08-22,0.9994603
BGF리테일,2023-08-17,0.26087046
BGF리테일,2023-08-16,-0.49598694
BGF리테일,2023-08-15,5.7816505e-06
BGF리테일,2023-08-13,0.999968
BGF리테일,2023-08-08,0.0026168823
BGF리테일,2023-08-06,0.0032093525
BGF리테일,2023-08-03,0.99996424
BGF리테일,2023-08-02,0.49999216
BGF리테일,2023-08-01,0.49975753
BGF리테일,2023-07-28,0.9691001
BGF리테일,2023-07-25,1.3232231e-05
BGF리테일,2023-07-24,3.6776066e-05
BGF리테일,2023-07-23,4.3451786e-05
BGF리테일,2023-07-20,4.827976e-06
BGF리테일,2023-07-18,0.49999204
BGF리테일,2023-07-17,0.99943286
BGF리테일,2023-07-16,0.012896776
BGF리테일,2023-07-13,2.7418137e-05
BGF리테일,2023-07-11,0.9999496
BGF리테일,2023-07-09,-1.257658e-05
BGF리테일,2023-07-05,0.9094238
BGF리테일,2023-07-04,7.44462e-05
BGF리테일,2023-07-03,0.99752146
BGF리테일,2023-06-30,2.4139881e-05
BGF리테일,2023-06-27,5.6028366e-06
BGF리테일,2023-06-25,0.009027481
BGF리테일,2023-06-21,0.991446
BGF리테일,2023-06-20,0.9999643
BGF리테일,2023-06-18,1.013279e-06
BGF리테일,2023-06-15,1.3530254e-05
BGF리테일,2023-06-14,0.05973053
BGF리테일,2023-06-12,0.9857979
BGF리테일,2023-06-11,0.9994533
BGF리테일,2023-06-07,0.010067463
BGF리테일,2023-05-31,0.00025177002
BGF리테일,2023-05-30,0.8269062
BGF리테일,2023-05-29,2.6226044e-05
BGF리테일,2023-05-26,-0.20800391
BGF리테일,2023-05-25,0.12161216
BGF리테일,2023-05-24,3.5643578e-05
BGF리테일,2023-05-23,0.194363
BGF리테일,2023-05-22,0.5001755
BGF리테일,2023-05-17,0.0001474917
BGF리테일,2023-05-16,0.99649173
BGF리테일,2023-05-14,3.9339066e-05
BGF리테일,2023-05-07,2.5987625e-05
BGF리테일,2023-05-04,0.999966
BGF리테일,2023-05-03,0.9999677
BGF리테일,2023-05-02,-0.9999376
BGF리테일,2023-04-25,0.65839434
BGF리테일,2023-04-23,1.168251e-05
BGF리테일,2023-04-17,0.9999622
BGF리테일,2023-04-16,0.6159483
BGF리테일,2023-04-11,0.00030976534
BGF리테일,2023-04-09,0.3820241
BGF리테일,2023-04-05,6.151199e-05
BGF리테일,2023-04-04,0.0028521419
BGF리테일,2023-04-03,0.8696728
BGF리테일,2023-03-31,0.99550366
BGF리테일,2023-03-28,4.1007996e-05
BGF리테일,2023-03-23,0.0034930706
BGF리테일,2023-03-22,0.5554743
BGF리테일,2023-03-19,8.529425e-05
BGF리테일,2023-03-14,0.008847237
BGF리테일,2023-03-13,9.655952e-06
BGF리테일,2023-03-09,0.9989418
BGF리테일,2023-02-23,0.0027036667
BGF리테일,2023-02-20,0.8134866
BGF리테일,2023-02-19,0.9999662
BGF리테일,2023-02-16,-0.10289383
BGF리테일,2023-02-15,-0.9871292
BGF리테일,2023-02-13,7.8082085e-06
BGF리테일,2023-02-12,4.297495e-05
BGF리테일,2023-02-09,0.33442286
BGF리테일,2023-02-08,0.99996954
BGF리테일,2023-01-31,2.7358532e-05
BGF리테일,2023-01-26,0.81757164
BGF리테일,2023-01-25,4.0888786e-05
BGF리테일,2023-01-24,0.00018203259
BGF리테일,2023-01-12,-0.9998661
BGF리테일,2023-01-10,0.0029343367
BGF리테일,2023-01-09,5.018711e-05
BGF리테일,2023-01-05,0.00919044
BGF리테일,2023-01-03,1.2755394e-05
BNK금융지주,2026-02-12,-0.00095784664
BNK금융지주,2026-02-11,1.9431114e-05
BNK금융지주,2026-02-09,2.1994114e-05
BNK금융지주,2026-02-06,0.43232173
BNK금융지주,2026-02-05,0.6664307
BNK금융지주,2026-02-04,0.33335125
BNK금융지주,2026-02-03,-2.2947788e-06
BNK금융지주,2026-01-30,2.6762486e-05
BNK금융지주,2026-01-27,7.280707e-05
BNK금융지주,2026-01-26,0.9880817
BNK금융지주,2026-01-23,1.8715858e-05
BNK금융지주,2026-01-19,4.1872263e-05
BNK금융지주,2026-01-15,-0.0012345165
BNK금융지주,2026-01-09,-3.939867e-05
BNK금융지주,2026-01-08,-8.1181526e-05
BNK금융지주,2026-01-07,-0.5573797
BNK금융지주,2026-01-06,0.33847344
BNK금융지주,2026-01-05,0.16585648
BNK금융지주,2025-12-31,4.351139e-05
BNK금융지주,2025-12-30,2.1314621e-05
BNK금융지주,2025-12-29,0.33300146
BNK금융지주,2025-12-26,0.9330516
BNK금융지주,2025-12-24,0.24990547
BNK금융지주,2025-12-23,0.23403221
BNK금융지주,2025-12-22,-0.25392306
BNK금융지주,2025-12-21,-0.012121201
BNK금융지주,2025-12-20,-0.017307281
BNK금융지주,2025-12-19,0.39669394
BNK금융지주,2025-12-17,0.27982825
BNK금융지주,2025-12-16,0.13624573
BNK금융지주,2025-12-15,0.9988985
BNK금융지주,2025-12-12,0.19410597
BNK금융지주,2025-12-11,-0.0008083582
BNK금융지주,2025-12-10,-0.00010719895
